id,name,zip_code,district_court,land_office,finance_and_tax_bureau,police_station,irs,home_office,country_id,created_at,updated_at
27,平溪區,226,基隆,瑞芳,瑞芳分處,"","","",3,2020-07-20 02:58:31.069369,2020-07-20 02:58:31.069369
28,雙溪區,227,基隆,瑞芳,瑞芳分處,"","","",3,2020-07-20 02:58:31.07246,2020-07-20 02:58:31.07246
29,貢寮區,228,基隆,瑞芳,瑞芳分處,"","","",3,2020-07-20 02:58:31.075456,2020-07-20 02:58:31.075456
30,新店區,231,臺北,新店,新店分處,"","","",3,2020-07-20 02:58:31.078369,2020-07-20 02:58:31.078369
31,坪林區,232,臺北,新店,新店分處,"","","",3,2020-07-20 02:58:31.08137,2020-07-20 02:58:31.08137
32,烏來區,233,臺北,新店,新店分處,"","","",3,2020-07-20 02:58:31.084054,2020-07-20 02:58:31.084054
33,永和區,234,新北,中和,中和分處,"","","",3,2020-07-20 02:58:31.086502,2020-07-20 02:58:31.086502
34,中和區,235,新北,中和,中和分處,"","","",3,2020-07-20 02:58:31.0888,2020-07-20 02:58:31.0888
35,土城區,236,新北,板橋,總處,"","","",3,2020-07-20 02:58:31.091121,2020-07-20 02:58:31.091121
36,三峽區,237,新北,樹林,三鶯分處,"","","",3,2020-07-20 02:58:31.093469,2020-07-20 02:58:31.093469
37,樹林區,238,新北,樹林,總處,"","","",3,2020-07-20 02:58:31.095833,2020-07-20 02:58:31.095833
38,鶯歌區,239,新北,樹林,三鶯分處,"","","",3,2020-07-20 02:58:31.098235,2020-07-20 02:58:31.098235
39,三重區,241,新北,三重,三重分處,"","","",3,2020-07-20 02:58:31.100612,2020-07-20 02:58:31.100612
40,新莊區,242,新北,新莊,新莊分處,"","","",3,2020-07-20 02:58:31.102971,2020-07-20 02:58:31.102971
41,泰山區,243,新北,新莊,新莊分處,"","","",3,2020-07-20 02:58:31.10535,2020-07-20 02:58:31.10535
42,林口區,244,新北,新莊,林口分處,"","","",3,2020-07-20 02:58:31.107652,2020-07-20 02:58:31.107652
43,蘆洲區,247,新北,三重,三重分處,"","","",3,2020-07-20 02:58:31.109987,2020-07-20 02:58:31.109987
44,五股區,248,新北,新莊,新莊分處,"","","",3,2020-07-20 02:58:31.112317,2020-07-20 02:58:31.112317
45,八里區,249,士林,淡水,淡水分處,"","","",3,2020-07-20 02:58:31.114684,2020-07-20 02:58:31.114684
46,淡水區,251,士林,淡水,淡水分處,"","","",3,2020-07-20 02:58:31.116977,2020-07-20 02:58:31.116977
47,三芝區,252,士林,淡水,淡水分處,"","","",3,2020-07-20 02:58:31.119243,2020-07-20 02:58:31.119243
48,石門區,253,士林,淡水,淡水分處,"","","",3,2020-07-20 02:58:31.121535,2020-07-20 02:58:31.121535
49,南竿鄉,209,"","","","","","",4,2020-07-20 02:58:31.123736,2020-07-20 02:58:31.123736
50,北竿鄉,210,"","","","","","",4,2020-07-20 02:58:31.126018,2020-07-20 02:58:31.126018
51,莒光鄉,211,"","","","","","",4,2020-07-20 02:58:31.128287,2020-07-20 02:58:31.128287
52,東引鄉,212,"","","","","","",4,2020-07-20 02:58:31.137001,2020-07-20 02:58:31.137001
53,宜蘭市,260,"","","","","","",5,2020-07-20 02:58:31.143799,2020-07-20 02:58:31.143799
54,頭城鎮,261,"","","","","","",5,2020-07-20 02:58:31.192567,2020-07-20 02:58:31.192567
55,礁溪鄉,262,"","","","","","",5,2020-07-20 02:58:31.19492,2020-07-20 02:58:31.19492
56,壯圍鄉,263,"","","","","","",5,2020-07-20 02:58:31.197173,2020-07-20 02:58:31.197173
57,員山鄉,264,"","","","","","",5,2020-07-20 02:58:31.200107,2020-07-20 02:58:31.200107
58,羅東鎮,265,"","","","","","",5,2020-07-20 02:58:31.202923,2020-07-20 02:58:31.202923
59,三星鄉,266,"","","","","","",5,2020-07-20 02:58:31.205994,2020-07-20 02:58:31.205994
60,大同鄉,267,"","","","","","",5,2020-07-20 02:58:31.208834,2020-07-20 02:58:31.208834
61,五結鄉,268,"","","","","","",5,2020-07-20 02:58:31.211802,2020-07-20 02:58:31.211802
62,冬山鄉,269,"","","","","","",5,2020-07-20 02:58:31.214662,2020-07-20 02:58:31.214662
63,蘇澳鎮,270,"","","","","","",5,2020-07-20 02:58:31.21757,2020-07-20 02:58:31.21757
64,南澳鄉,272,"","","","","","",5,2020-07-20 02:58:31.220087,2020-07-20 02:58:31.220087
65,釣魚台,290,"","","","","","",6,2020-07-20 02:58:31.222455,2020-07-20 02:58:31.222455
66,東區,300,"","","","","","",7,2020-07-20 02:58:31.224692,2020-07-20 02:58:31.224692
67,北區,300,"","","","","","",7,2020-07-20 02:58:31.226934,2020-07-20 02:58:31.226934
68,香山區,300,"","","","","","",7,2020-07-20 02:58:31.229207,2020-07-20 02:58:31.229207
69,竹北市,302,"","","","","","",8,2020-07-20 02:58:31.231447,2020-07-20 02:58:31.231447
70,湖口鄉,303,"","","","","","",8,2020-07-20 02:58:31.233733,2020-07-20 02:58:31.233733
71,新豐鄉,304,"","","","","","",8,2020-07-20 02:58:31.236002,2020-07-20 02:58:31.236002
72,新埔鎮,305,"","","","","","",8,2020-07-20 02:58:31.238295,2020-07-20 02:58:31.238295
73,關西鎮,306,"","","","","","",8,2020-07-20 02:58:31.240639,2020-07-20 02:58:31.240639
74,芎林鄉,307,"","","","","","",8,2020-07-20 02:58:31.242937,2020-07-20 02:58:31.242937
75,寶山鄉,308,"","","","","","",8,2020-07-20 02:58:31.24524,2020-07-20 02:58:31.24524
76,竹東鎮,310,"","","","","","",8,2020-07-20 02:58:31.247475,2020-07-20 02:58:31.247475
77,五峰鄉,311,"","","","","","",8,2020-07-20 02:58:31.249791,2020-07-20 02:58:31.249791
78,橫山鄉,312,"","","","","","",8,2020-07-20 02:58:31.25215,2020-07-20 02:58:31.25215
79,尖石鄉,313,"","","","","","",8,2020-07-20 02:58:31.254456,2020-07-20 02:58:31.254456
80,北埔鄉,314,"","","","","","",8,2020-07-20 02:58:31.256692,2020-07-20 02:58:31.256692
81,峨眉鄉,315,"","","","","","",8,2020-07-20 02:58:31.258939,2020-07-20 02:58:31.258939
82,中壢市,320,"","","","","","",9,2020-07-20 02:58:31.261197,2020-07-20 02:58:31.261197
83,平鎮市,324,"","","","","","",9,2020-07-20 02:58:31.263494,2020-07-20 02:58:31.263494
84,龍潭鄉,325,"","","","","","",9,2020-07-20 02:58:31.265728,2020-07-20 02:58:31.265728
85,楊梅市,326,"","","","","","",9,2020-07-20 02:58:31.268018,2020-07-20 02:58:31.268018
86,新屋鄉,327,"","","","","","",9,2020-07-20 02:58:31.270334,2020-07-20 02:58:31.270334
87,觀音鄉,328,"","","","","","",9,2020-07-20 02:58:31.272675,2020-07-20 02:58:31.272675
88,桃園市,330,"","","","","","",9,2020-07-20 02:58:31.275059,2020-07-20 02:58:31.275059
89,龜山鄉,333,"","","","","","",9,2020-07-20 02:58:33.286892,2020-07-20 02:58:33.286892
90,八德市,334,"","","","","","",9,2020-07-20 02:58:33.289421,2020-07-20 02:58:33.289421
91,大溪鎮,335,"","","","","","",9,2020-07-20 02:58:33.291746,2020-07-20 02:58:33.291746
92,復興鄉,336,"","","","","","",9,2020-07-20 02:58:33.294801,2020-07-20 02:58:33.294801
93,大園鄉,337,"","","","","","",9,2020-07-20 02:58:33.297894,2020-07-20 02:58:33.297894
94,蘆竹鄉,338,"","","","","","",9,2020-07-20 02:58:33.301088,2020-07-20 02:58:33.301088
95,竹南鎮,350,"","","","","","",10,2020-07-20 02:58:33.304219,2020-07-20 02:58:33.304219
96,頭份鎮,351,"","","","","","",10,2020-07-20 02:58:33.314374,2020-07-20 02:58:33.314374
97,三灣鄉,352,"","","","","","",10,2020-07-20 02:58:33.317536,2020-07-20 02:58:33.317536
98,南庄鄉,353,"","","","","","",10,2020-07-20 02:58:33.320675,2020-07-20 02:58:33.320675
99,獅潭鄉,354,"","","","","","",10,2020-07-20 02:58:33.323618,2020-07-20 02:58:33.323618
100,後龍鎮,356,"","","","","","",10,2020-07-20 02:58:33.326703,2020-07-20 02:58:33.326703
101,通霄鎮,357,"","","","","","",10,2020-07-20 02:58:33.329852,2020-07-20 02:58:33.329852
102,苑裡鎮,358,"","","","","","",10,2020-07-20 02:58:33.332799,2020-07-20 02:58:33.332799
103,苗栗市,360,"","","","","","",10,2020-07-20 02:58:33.335849,2020-07-20 02:58:33.335849
104,造橋鄉,361,"","","","","","",10,2020-07-20 02:58:33.338958,2020-07-20 02:58:33.338958
105,頭屋鄉,362,"","","","","","",10,2020-07-20 02:58:33.342104,2020-07-20 02:58:33.342104
106,公館鄉,363,"","","","","","",10,2020-07-20 02:58:33.34527,2020-07-20 02:58:33.34527
107,大湖鄉,364,"","","","","","",10,2020-07-20 02:58:33.34867,2020-07-20 02:58:33.34867
108,泰安鄉,365,"","","","","","",10,2020-07-20 02:58:33.351687,2020-07-20 02:58:33.351687
109,銅鑼鄉,366,"","","","","","",10,2020-07-20 02:58:33.354616,2020-07-20 02:58:33.354616
110,三義鄉,367,"","","","","","",10,2020-07-20 02:58:33.357625,2020-07-20 02:58:33.357625
111,西湖鄉,368,"","","","","","",10,2020-07-20 02:58:33.360462,2020-07-20 02:58:33.360462
112,卓蘭鎮,369,"","","","","","",10,2020-07-20 02:58:33.363069,2020-07-20 02:58:33.363069
113,中區,400,"","","","","","",11,2020-07-20 02:58:33.36551,2020-07-20 02:58:33.36551
114,東區,401,"","","","","","",11,2020-07-20 02:58:33.367856,2020-07-20 02:58:33.367856
115,南區,402,"","","","","","",11,2020-07-20 02:58:33.370219,2020-07-20 02:58:33.370219
116,西區,403,"","","","","","",11,2020-07-20 02:58:33.372639,2020-07-20 02:58:33.372639
117,北區,404,"","","","","","",11,2020-07-20 02:58:33.375016,2020-07-20 02:58:33.375016
118,北屯區,406,臺中,中正,東山分局,"","","",11,2020-07-20 02:58:33.377731,2020-07-20 02:58:33.377731
119,西屯區,407,臺中,中興,文心分局,"","","",11,2020-07-20 02:58:33.380147,2020-07-20 02:58:33.380147
120,南屯區,408,臺中,中興,文心分局,"","","",11,2020-07-20 02:58:33.382564,2020-07-20 02:58:33.382564
121,太平區,411,臺中,太平,大屯分局,"","","",11,2020-07-20 02:58:33.384986,2020-07-20 02:58:33.384986
122,大里區,412,臺中,大里,大屯分局,"","","",11,2020-07-20 02:58:33.387366,2020-07-20 02:58:33.387366
123,霧峰區,413,臺中,大里,大屯分局,"","","",11,2020-07-20 02:58:33.389744,2020-07-20 02:58:33.389744
124,烏日區,414,臺中,大里,大屯分局,"","","",11,2020-07-20 02:58:33.392162,2020-07-20 02:58:33.392162
125,豐原區,420,臺中,豐原,豐原分局,"","","",11,2020-07-20 02:58:33.394539,2020-07-20 02:58:33.394539
126,后里區,421,臺中,豐原,豐原分局,"","","",11,2020-07-20 02:58:33.396926,2020-07-20 02:58:33.396926
127,石岡區,422,臺中,東勢,東勢分局,"","","",11,2020-07-20 02:58:33.399232,2020-07-20 02:58:33.399232
128,東勢區,423,臺中,東勢,東勢分局,"","","",11,2020-07-20 02:58:33.401564,2020-07-20 02:58:33.401564
129,和平區,424,臺中,東勢,東勢分局,"","","",11,2020-07-20 02:58:33.403854,2020-07-20 02:58:33.403854
130,新社區,426,臺中,東勢,東勢分局,"","","",11,2020-07-20 02:58:33.406188,2020-07-20 02:58:33.406188
131,潭子區,427,臺中,雅潭,豐原分局,"","","",11,2020-07-20 02:58:33.408488,2020-07-20 02:58:33.408488
132,大雅區,428,臺中,雅潭,豐原分局,"","","",11,2020-07-20 02:58:33.410824,2020-07-20 02:58:33.410824
133,神岡區,429,臺中,豐原,豐原分局,"","","",11,2020-07-20 02:58:33.586564,2020-07-20 02:58:33.586564
134,大肚區,432,臺中,龍井,沙鹿分局,"","","",11,2020-07-20 02:58:33.58947,2020-07-20 02:58:33.58947
135,沙鹿區,433,臺中,清水,沙鹿分局,"","","",11,2020-07-20 02:58:33.591815,2020-07-20 02:58:33.591815
136,龍井區,434,臺中,龍井,沙鹿分局,"","","",11,2020-07-20 02:58:33.594956,2020-07-20 02:58:33.594956
137,梧棲區,435,臺中,清水,沙鹿分局,"","","",11,2020-07-20 02:58:33.598502,2020-07-20 02:58:33.598502
138,清水區,436,臺中,清水,沙鹿分局,"","","",11,2020-07-20 02:58:33.601674,2020-07-20 02:58:33.601674
139,大甲區,437,臺中,大甲,沙鹿分局,"","","",11,2020-07-20 02:58:33.604713,2020-07-20 02:58:33.604713
140,外埔區,438,臺中,大甲,沙鹿分局,"","","",11,2020-07-20 02:58:33.607584,2020-07-20 02:58:33.607584
141,大安區,439,臺北,大安,大安分處,"","","",11,2020-07-20 02:58:33.610514,2020-07-20 02:58:33.610514
142,彰化市,500,"","","","","","",12,2020-07-20 02:58:33.618188,2020-07-20 02:58:33.618188
143,芬園鄉,502,"","","","","","",12,2020-07-20 02:58:33.621163,2020-07-20 02:58:33.621163
144,花壇鄉,503,"","","","","","",12,2020-07-20 02:58:33.624108,2020-07-20 02:58:33.624108
145,秀水鄉,504,"","","","","","",12,2020-07-20 02:58:33.627012,2020-07-20 02:58:33.627012
146,鹿港鎮,505,"","","","","","",12,2020-07-20 02:58:33.630281,2020-07-20 02:58:33.630281
147,福興鄉,506,"","","","","","",12,2020-07-20 02:58:33.63316,2020-07-20 02:58:33.63316
148,線西鄉,507,"","","","","","",12,2020-07-20 02:58:33.636112,2020-07-20 02:58:33.636112
149,和美鎮,508,"","","","","","",12,2020-07-20 02:58:33.638953,2020-07-20 02:58:33.638953
150,伸港鄉,509,"","","","","","",12,2020-07-20 02:58:33.641852,2020-07-20 02:58:33.641852
151,員林鎮,510,"","","","","","",12,2020-07-20 02:58:33.644871,2020-07-20 02:58:33.644871
152,社頭鄉,511,"","","","","","",12,2020-07-20 02:58:33.648067,2020-07-20 02:58:33.648067
153,永靖鄉,512,"","","","","","",12,2020-07-20 02:58:33.651033,2020-07-20 02:58:33.651033
154,埔心鄉,513,"","","","","","",12,2020-07-20 02:58:33.654088,2020-07-20 02:58:33.654088
155,溪湖鎮,514,"","","","","","",12,2020-07-20 02:58:33.657035,2020-07-20 02:58:33.657035
156,大村鄉,515,"","","","","","",12,2020-07-20 02:58:33.660129,2020-07-20 02:58:33.660129
157,埔鹽鄉,516,"","","","","","",12,2020-07-20 02:58:33.663023,2020-07-20 02:58:33.663023
158,田中鎮,520,"","","","","","",12,2020-07-20 02:58:33.665906,2020-07-20 02:58:33.665906
159,北斗鎮,521,"","","","","","",12,2020-07-20 02:58:33.668861,2020-07-20 02:58:33.668861
160,田尾鄉,522,"","","","","","",12,2020-07-20 02:58:33.671995,2020-07-20 02:58:33.671995
161,埤頭鄉,523,"","","","","","",12,2020-07-20 02:58:33.674863,2020-07-20 02:58:33.674863
162,溪州鄉,524,"","","","","","",12,2020-07-20 02:58:33.677983,2020-07-20 02:58:33.677983
163,竹塘鄉,525,"","","","","","",12,2020-07-20 02:58:33.680832,2020-07-20 02:58:33.680832
164,二林鎮,526,"","","","","","",12,2020-07-20 02:58:33.683567,2020-07-20 02:58:33.683567
165,大城鄉,527,"","","","","","",12,2020-07-20 02:58:33.686205,2020-07-20 02:58:33.686205
166,芳苑鄉,528,"","","","","","",12,2020-07-20 02:58:33.688688,2020-07-20 02:58:33.688688
167,二水鄉,530,"","","","","","",12,2020-07-20 02:58:33.691113,2020-07-20 02:58:33.691113
168,南投市,540,"","","","","","",13,2020-07-20 02:58:33.693478,2020-07-20 02:58:33.693478
169,中寮鄉,541,"","","","","","",13,2020-07-20 02:58:33.702104,2020-07-20 02:58:33.702104
170,草屯鎮,542,"","","","","","",13,2020-07-20 02:58:33.705438,2020-07-20 02:58:33.705438
171,國姓鄉,544,"","","","","","",13,2020-07-20 02:58:33.707847,2020-07-20 02:58:33.707847
172,埔里鎮,545,"","","","","","",13,2020-07-20 02:58:33.710344,2020-07-20 02:58:33.710344
173,仁愛鄉,546,"","","","","","",13,2020-07-20 02:58:33.7151,2020-07-20 02:58:33.7151
174,名間鄉,551,"","","","","","",13,2020-07-20 02:58:33.717439,2020-07-20 02:58:33.717439
175,集集鎮,552,"","","","","","",13,2020-07-20 02:58:33.719728,2020-07-20 02:58:33.719728
176,水里鄉,553,"","","","","","",13,2020-07-20 02:58:33.72209,2020-07-20 02:58:33.72209
177,魚池鄉,555,"","","","","","",13,2020-07-20 02:58:33.724417,2020-07-20 02:58:33.724417
178,信義鄉,556,"","","","","","",13,2020-07-20 02:58:33.726638,2020-07-20 02:58:33.726638
179,竹山鎮,557,"","","","","","",13,2020-07-20 02:58:33.728905,2020-07-20 02:58:33.728905
180,鹿谷鄉,558,"","","","","","",13,2020-07-20 02:58:33.731213,2020-07-20 02:58:33.731213
181,東區,600,"","","","","","",14,2020-07-20 02:58:33.733521,2020-07-20 02:58:33.733521
182,西區,600,"","","","","","",14,2020-07-20 02:58:33.735779,2020-07-20 02:58:33.735779
183,番路鄉,602,"","","","","","",15,2020-07-20 02:58:33.738246,2020-07-20 02:58:33.738246
184,梅山鄉,603,"","","","","","",15,2020-07-20 02:58:33.740586,2020-07-20 02:58:33.740586
185,竹崎鄉,604,"","","","","","",15,2020-07-20 02:58:33.742926,2020-07-20 02:58:33.742926
186,阿里山鄉,605,"","","","","","",15,2020-07-20 02:58:33.745406,2020-07-20 02:58:33.745406
187,中埔鄉,606,"","","","","","",15,2020-07-20 02:58:33.747798,2020-07-20 02:58:33.747798
188,大埔鄉,607,"","","","","","",15,2020-07-20 02:58:33.750187,2020-07-20 02:58:33.750187
189,水上鄉,608,"","","","","","",15,2020-07-20 02:58:33.752534,2020-07-20 02:58:33.752534
190,鹿草鄉,611,"","","","","","",15,2020-07-20 02:58:33.930937,2020-07-20 02:58:33.930937
191,太保市,612,"","","","","","",15,2020-07-20 02:58:33.933428,2020-07-20 02:58:33.933428
192,朴子市,613,"","","","","","",15,2020-07-20 02:58:33.935706,2020-07-20 02:58:33.935706
193,東石鄉,614,"","","","","","",15,2020-07-20 02:58:33.938707,2020-07-20 02:58:33.938707
194,六腳鄉,615,"","","","","","",15,2020-07-20 02:58:33.941583,2020-07-20 02:58:33.941583
195,新港鄉,616,"","","","","","",15,2020-07-20 02:58:33.944588,2020-07-20 02:58:33.944588
196,民雄鄉,621,"","","","","","",15,2020-07-20 02:58:33.947578,2020-07-20 02:58:33.947578
197,大林鎮,622,"","","","","","",15,2020-07-20 02:58:33.950547,2020-07-20 02:58:33.950547
198,溪口鄉,623,"","","","","","",15,2020-07-20 02:58:33.953561,2020-07-20 02:58:33.953561
199,義竹鄉,624,"","","","","","",15,2020-07-20 02:58:33.956479,2020-07-20 02:58:33.956479
200,布袋鎮,625,"","","","","","",15,2020-07-20 02:58:33.95947,2020-07-20 02:58:33.95947
201,斗南鎮,630,"","","","","","",16,2020-07-20 02:58:33.962436,2020-07-20 02:58:33.962436
202,大埤鄉,631,"","","","","","",16,2020-07-20 02:58:33.965314,2020-07-20 02:58:33.965314
203,虎尾鎮,632,"","","","","","",16,2020-07-20 02:58:33.968582,2020-07-20 02:58:33.968582
204,土庫鎮,633,"","","","","","",16,2020-07-20 02:58:33.971439,2020-07-20 02:58:33.971439
205,褒忠鄉,634,"","","","","","",16,2020-07-20 02:58:33.974549,2020-07-20 02:58:33.974549
206,東勢鄉,635,"","","","","","",16,2020-07-20 02:58:33.9776,2020-07-20 02:58:33.9776
207,台西鄉,636,"","","","","","",16,2020-07-20 02:58:33.98049,2020-07-20 02:58:33.98049
208,崙背鄉,637,"","","","","","",16,2020-07-20 02:58:33.983319,2020-07-20 02:58:33.983319
209,麥寮鄉,638,"","","","","","",16,2020-07-20 02:58:33.986178,2020-07-20 02:58:33.986178
210,斗六市,640,"","","","","","",16,2020-07-20 02:58:33.988998,2020-07-20 02:58:33.988998
211,林內鄉,643,"","","","","","",16,2020-07-20 02:58:33.992008,2020-07-20 02:58:33.992008
212,古坑鄉,646,"","","","","","",16,2020-07-20 02:58:33.995014,2020-07-20 02:58:33.995014
213,莿桐鄉,647,"","","","","","",16,2020-07-20 02:58:33.997819,2020-07-20 02:58:33.997819
214,西螺鎮,648,"","","","","","",16,2020-07-20 02:58:34.000441,2020-07-20 02:58:34.000441
215,二崙鄉,649,"","","","","","",16,2020-07-20 02:58:34.002912,2020-07-20 02:58:34.002912
216,北港鎮,651,"","","","","","",16,2020-07-20 02:58:34.005314,2020-07-20 02:58:34.005314
217,水林鄉,652,"","","","","","",16,2020-07-20 02:58:34.007549,2020-07-20 02:58:34.007549
218,口湖鄉,653,"","","","","","",16,2020-07-20 02:58:34.010053,2020-07-20 02:58:34.010053
219,四湖鄉,654,"","","","","","",16,2020-07-20 02:58:34.012614,2020-07-20 02:58:34.012614
220,元長鄉,655,"","","","","","",16,2020-07-20 02:58:34.015085,2020-07-20 02:58:34.015085
225,安平區,708,臺南,臺南,臺南分局,"",臺南分局,"",17,2020-07-20 02:58:34.026982,2020-07-20 02:58:34.026982
226,安南區,709,臺南,安南,安南分局,"",安南稽徵所,"",17,2020-07-20 02:58:34.029344,2020-07-20 02:58:34.029344
227,永康區,710,臺南,永康,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.031773,2020-07-20 02:58:34.031773
228,歸仁區,711,臺南,歸仁,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.034128,2020-07-20 02:58:34.034128
229,新化區,712,臺南,新化,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.036464,2020-07-20 02:58:34.036464
230,左鎮區,713,臺南,新化,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.038881,2020-07-20 02:58:34.038881
231,玉井區,714,臺南,玉井,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.041147,2020-07-20 02:58:34.041147
232,楠西區,715,臺南,玉井,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.04348,2020-07-20 02:58:34.04348
233,南化區,716,臺南,玉井,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.045808,2020-07-20 02:58:34.045808
234,仁德區,717,臺南,歸仁,���化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.048064,2020-07-20 02:58:34.048064
235,關廟區,718,臺南,歸仁,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.05034,2020-07-20 02:58:34.05034
236,龍崎區,719,臺南,歸仁,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.052593,2020-07-20 02:58:34.052593
237,官田區,720,臺南,麻豆,新化分局,"",新化稽徵所,"",17,2020-07-20 02:58:34.240431,2020-07-20 02:58:34.240431
238,麻豆區,721,臺南,麻豆,佳里分局,"",佳里稽徵所,"",17,2020-07-20 02:58:34.242886,2020-07-20 02:58:34.242886
239,佳里區,722,臺南,佳里,佳里分局,"",佳里稽徵所,"",17,2020-07-20 02:58:34.245109,2020-07-20 02:58:34.245109
240,西港區,723,臺南,佳里,佳里分局,"",佳里稽徵所,"",17,2020-07-20 02:58:34.248231,2020-07-20 02:58:34.248231
241,七股區,724,"","","","","","",17,2020-07-20 02:58:34.251071,2020-07-20 02:58:34.251071
242,將軍區,725,臺南,佳里,佳里分局,"",佳里稽徵所,"",17,2020-07-20 02:58:34.25955,2020-07-20 02:58:34.25955
243,學甲區,726,臺南,佳里,佳里分局,"",佳里稽徵所,"",17,2020-07-20 02:58:34.263531,2020-07-20 02:58:34.263531
244,北門區,727,臺南,佳里,佳里分局,"",佳里稽徵所,"",17,2020-07-20 02:58:34.266502,2020-07-20 02:58:34.266502
245,新營區,730,臺南,鹽水,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.26942,2020-07-20 02:58:34.26942
246,後壁區,731,臺南,白河,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.272404,2020-07-20 02:58:34.272404
247,白河區,732,臺南,白河,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.275514,2020-07-20 02:58:34.275514
248,東山區,733,臺南,白河,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.278523,2020-07-20 02:58:34.278523
249,六甲區,734,臺南,麻豆,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.281426,2020-07-20 02:58:34.281426
250,下營區,735,臺南,麻豆,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.28468,2020-07-20 02:58:34.28468
251,柳營區,736,臺南,鹽水,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.287716,2020-07-20 02:58:34.287716
252,鹽水區,737,臺南,鹽水,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.290953,2020-07-20 02:58:34.290953
253,善化區,741,臺南,新化,新營分局,"",新營分局,"",17,2020-07-20 02:58:34.294267,2020-07-20 02:58:34.294267
