id,land_number,land_url,land_area,land_holding_point_personal,land_holding_point_all,yfcase_id,created_at,updated_at,landRemarks,landPresentValue,landTotalArea,landAreaWidth,landAreaDepth
31,93,https://drive.google.com/drive/u/0/folders/1QX6gi-7A1zXACyYmRTHEizUJIE_kJhXN,47.98,1,2,27,2020-08-21 07:04:06.070052,2020-08-21 08:38:46.840422,"","","","",""
33,1615,https://drive.google.com/drive/u/0/folders/1fb_3B6YTM-B8Dmi8lvQD1SffqgCeWSKH,68.00,1,2,29,2020-08-21 08:34:15.965769,2020-08-21 09:34:52.285475,"","","","",""
32, 1687,"",77.38,1,2,28,2020-08-21 07:49:16.263646,2020-08-21 09:38:33.493998,"","","",https://drive.google.com/drive/u/0/folders/1pjirqcgu2zxwIttOFt8L-hOALQpTEqdn,""
34,714,"",101.19,1,4,30,2020-08-25 10:34:58.534717,2020-08-25 10:34:58.534717,"","","","",""
36,1577,"",48.00,1,3,32,2020-09-02 03:09:11.302,2020-09-02 03:09:11.302,"","","","",""
37,730-114,"",97.00,1,2,33,2020-09-02 06:02:56.983715,2020-09-02 06:02:56.983715,"","","","",""
38,277,"",195.92,1,4,34,2020-09-07 09:09:58.944168,2020-09-07 09:09:58.944168,"","","","",""
39,176,"",63.00,4,6,36,2020-09-14 02:45:56.314524,2020-09-14 02:45:56.314524,"","","","",""
40,879-16,"",1826.00,1,4,37,2020-09-21 08:06:29.559747,2020-09-21 08:06:29.559747,"","","","",""
41,541-5,"",83.00,1,3,38,2020-09-21 08:32:07.235741,2020-09-21 08:32:07.235741,"","","","",""
42,363,"",83.64,1,7,39,2020-09-21 08:42:39.817512,2020-09-21 08:42:39.817512,"","","","",""
43,539-37,"",65.00,1,2,40,2020-09-22 06:22:21.072226,2020-09-22 06:22:21.072226,"","","","",""
44,1,"",70.00,1,3,41,2020-09-25 23:35:57.530789,2020-09-25 23:35:57.530789,"","","","",""
46,246,"",90.16,1,4,43,2020-09-28 06:43:42.915863,2020-09-28 06:43:42.915863,"","","","",""
47,247,"",6.63,1,4,43,2020-09-28 06:43:42.918043,2020-09-28 06:43:42.918043,"","","","",""
48,922-4,"",100.00,1,4,44,2020-09-28 06:51:48.322119,2020-09-28 06:51:48.322119,"","","","",""
49,1997,"",83.00,1,2,45,2020-09-28 07:45:19.781606,2020-09-28 07:45:19.781606,"","","","",""
50,430,"",895.00,1,5,46,2020-09-28 08:04:21.468815,2020-09-28 08:04:21.468815,"","","","",""
51,1122,"",794.84,3610,79300,47,2020-09-28 08:20:01.396552,2020-09-28 08:20:01.396552,"","","","",""
53, 1581-7,"",48.00,1,2,35,2020-10-02 04:19:43.300415,2020-10-02 04:19:43.300415,"","","","",""
54,1584-8,"",31.00,1,2,35,2020-10-02 04:19:43.302729,2020-10-02 04:19:43.302729,"","","","",""
55,351-10,"",139.00,1,4,49,2020-10-02 12:09:30.589481,2020-10-02 12:09:30.589481,"","","","",""
56,17,"",266.71,1,10,50,2020-10-02 12:46:32.94543,2020-10-02 12:46:32.94543,"","","","",""
57,19,"",98.15,1,10,50,2020-10-02 12:46:32.947541,2020-10-02 12:46:32.947541,"","","","",""
58,562,"",100.57,1,3,51,2020-10-05 03:26:24.490016,2020-10-05 03:26:24.490016,"","","","",""
59,203-2,"",61.00,1,4,52,2020-10-05 03:39:00.88486,2020-10-05 03:39:00.88486,"","","","",""
60,202-6,"",68.00,7,624,52,2020-10-05 03:39:00.886898,2020-10-05 03:39:00.886898,"","","","",""
61,204-3,"",83.00,7,624,52,2020-10-05 03:39:00.903288,2020-10-05 03:39:00.903288,"","","","",""
63,1362,"",801.00,378,50000,54,2020-10-05 05:54:11.817649,2020-10-05 05:54:11.817649,"","","","",""
64,281,"",105.00,1,2,55,2020-10-05 11:02:07.67057,2020-10-05 11:02:07.67057,"","","","",""
65,610,"",6413.96,38,50000,56,2020-10-07 09:35:15.728964,2020-10-07 09:35:15.728964,"","","","",""
52,296,https://drive.google.com/file/d/1LvPsC0sBA1laxPRTjmWuiNm4wMXmwJMu/view?usp=drivesdk,36.74,1,15,48,2020-09-30 10:47:45.028131,2020-10-13 11:52:46.096944,"","","","",""
35,281,https://drive.google.com/drive/u/1/folders/1NxhO1EB6nIT2Lg1O5r_0S59ZSfpqDq48,105.00,1,2,31,2020-08-27 14:01:45.264712,2020-10-15 09:52:04.158066,"","","","",""
68,513,"",38.99,1,15,58,2020-10-16 14:58:20.23737,2020-10-16 14:58:20.23737,"","","","",""
72,93-31,"",56.00,2,3,61,2020-10-30 01:19:16.402866,2020-10-30 01:19:16.402866,"","","","",""
74,944,"",96.00,1,4,63,2020-10-30 13:18:38.99966,2020-10-30 13:18:38.99966,"","","","",""
75,944-1,"",21.00,1,4,63,2020-10-30 13:18:39.002186,2020-10-30 13:18:39.002186,"","","","",""
76,944-2,"",4.00,1,4,63,2020-10-30 13:18:39.003993,2020-10-30 13:18:39.003993,"","","","",""
77,502,"",150.45,1,3,64,2020-11-05 20:18:47.228465,2020-11-05 20:18:47.228465,"","","","",""
45,827,https://drive.google.com/file/d/1RyGR0Oshqw9ey34UYihd5mACO1Sz1Klh/view?usp=drivesdk,97.45,1,4,42,2020-09-28 06:32:35.523426,2020-11-10 10:54:12.112681,"","","","",""
78,867,"",39.00,1,4,65,2020-11-12 14:08:04.300058,2020-11-12 14:08:04.300058,"","","","",""
79,1208,"",104.75,1,2,66,2020-11-13 05:02:28.757036,2020-11-13 05:02:28.757036,"",25000,104.75,"",""
73,31,https://drive.google.com/file/d/1VlzAlXNPW0WyWPsjA0dE9PTiEI3boCuD/view?usp=sharing,4906.00,723,600000,62,2020-10-30 01:46:06.641583,2020-11-20 10:04:17.700578,"","","","",""
69,150-17,https://drive.google.com/file/d/1rXL5nTo5JzaEdfXavX_iEI6oWs42CRi-/view?usp=sharing,6.00,1,5,59,2020-10-21 10:51:34.979002,2020-12-19 02:20:33.38178,"","","","",""
66, 757,https://drive.google.com/file/d/1Ec0yHYLRxRt3IexhYfF-sDgX8V8L8WNM/view?usp=sharing,42.00,1,4,57,2020-10-14 14:28:31.646589,2020-12-19 02:23:33.715994,"","","","",""
164,1427,"",148.96,1,3,120,2021-03-03 00:50:30.026611,2021-03-03 00:50:30.026611,"","","","",""
62,426-21,https://drive.google.com/file/d/1_yFumddMlP6plZHBxTRD7NuugLeIq9hQ/view?usp=sharing,56.00,1,6,53,2020-10-05 03:47:08.794725,2020-11-20 08:33:57.988843,"","","","",""
71,1007,https://drive.google.com/file/d/1f7hjwFRcYl7lh7LXy_6CSe_hrQgujgUw/view?usp=sharing,59.00,1,3,60,2020-10-23 14:16:51.854792,2020-11-20 10:10:03.268842,"","","","",""
80,974,"",5.00,1,6,67,2020-11-20 11:16:06.665155,2020-11-20 11:16:06.665155,"","","","",""
81,974-1,"",12.00,1,6,67,2020-11-20 11:16:06.66916,2020-11-20 11:16:06.66916,"","","","",""
82,974-2,"",42.00,1,6,67,2020-11-20 11:16:06.671972,2020-11-20 11:16:06.671972,"","","","",""
83,66,"",9.77,1,5,68,2020-11-20 13:04:25.333449,2020-11-20 13:04:25.333449,"","","","",""
84,67,"",103.61,1,5,68,2020-11-20 13:04:25.340606,2020-11-20 13:04:25.340606,"","","","",""
85,855,"",100.10,1,10,69,2020-11-21 09:33:13.809389,2020-11-21 09:33:13.809389,"","","","",""
86,233,"",75.58,1,5,70,2020-11-23 13:53:31.101893,2020-11-23 13:53:31.101893,"","","","",""
87,415-42,"",55.00,1,2,71,2020-11-23 14:09:33.607868,2020-11-23 14:09:33.607868,"","","","",""
88,415-176,"",2.00,1,2,71,2020-11-23 14:09:33.610934,2020-11-23 14:09:33.610934,"","","","",""
89,244-4 ,"",78.00,1,6,72,2020-11-24 13:41:19.891271,2020-11-24 13:41:19.891271,"","","","",""
90,244-4 ,"",82.00,1,96,72,2020-11-24 13:41:19.894461,2020-11-24 13:41:19.894461,"","","","",""
91,244-4 ,"",82.00,1,96,72,2020-11-24 13:41:19.896655,2020-11-24 13:41:19.896655,"","","","",""
92,2058,"",55.00,1,6,73,2020-11-25 00:35:45.700092,2020-11-25 00:35:45.700092,"","","","",""
93,517,"",279.00,1,2,74,2020-11-25 00:41:26.533925,2020-11-25 00:41:26.533925,"","","","",""
94,540,"",244.00,1,8,74,2020-11-25 00:41:26.535635,2020-11-25 00:41:26.535635,"","","","",""
95, 377-14,"",67.00,1,4,75,2020-11-25 00:47:58.108851,2020-11-25 00:47:58.108851,"","","","",""
96,68,"",78.39,2,5,76,2020-11-25 14:55:52.86816,2020-11-25 14:55:52.86816,"","","","",""
97,454,"",1219.00,1,4,77,2020-11-27 05:57:29.821692,2020-11-27 05:57:29.821692,"","","","",""
98,153,"",1998.60,1999,9600,78,2020-11-27 11:46:39.024881,2020-11-27 11:46:39.024881,"","","","",""
101,888-1,"",196.00,1,60,80,2020-12-01 05:12:11.590267,2020-12-01 05:12:11.590267,"","","","",""
102,888-4,"",2.00,1,60,80,2020-12-01 05:12:11.59335,2020-12-01 05:12:11.59335,"","","","",""
103,235-18,"",104.00,1,15,81,2020-12-01 11:23:12.747954,2020-12-01 11:23:12.747954,"","","","",""
105,461,"",117.59,1,15,83,2020-12-02 15:12:00.055845,2020-12-02 15:12:00.055845,"","","","",""
106,222,"",50.00,1,42,84,2020-12-02 15:41:15.213127,2020-12-02 15:41:15.213127,"","","","",""
107, 223,"",3.00,1,14,84,2020-12-02 15:41:15.215656,2020-12-02 15:41:15.215656,"","","","",""
108,910,"",2049.00,33,17560,85,2020-12-06 08:45:59.569106,2020-12-06 08:45:59.569106,"","","","",""
109,1290-1,"",303.00,197,10000,86,2020-12-06 09:00:37.509718,2020-12-06 09:00:37.509718,"","","","",""
110,839,"",79.33,1,2,87,2020-12-07 11:17:09.814934,2020-12-07 11:17:09.814934,"","","","",""
111,840,"",81.93,1,12,87,2020-12-07 11:17:09.817127,2020-12-07 11:17:09.817127,"","","","",""
112,410,"",101.00,1,36,88,2020-12-07 15:41:45.869001,2020-12-07 15:41:45.869001,"","","","",""
113,505-7,"",18.00,1,18,88,2020-12-07 15:41:45.871465,2020-12-07 15:41:45.871465,"","","","",""
114,450,"",79.00,1,15,89,2020-12-07 16:37:56.530921,2020-12-07 16:37:56.530921,"","","","",""
115,881,"",79.14,1,21,90,2020-12-10 23:10:46.308244,2020-12-10 23:10:46.308244,"","","","",""
117,420,"",133.00,1,8,92,2020-12-15 14:56:01.470691,2020-12-15 14:56:01.470691,"","","","",""
118,40,"",617.00,410,40000,93,2020-12-15 16:31:24.292135,2020-12-15 16:31:24.292135,00,"","","",""
116,320,https://drive.google.com/file/d/1F_3hIs6_jbQW45-ASrrR2Sdeo4sWwaac/view?usp=sharing,72.69,1,4,91,2020-12-10 23:18:53.921798,2020-12-19 02:15:59.721234,"","","","",""
99,1306-23,https://drive.google.com/file/d/1mUfJ-1HDB2LgMfsOyH1XvtykZOrTy4Oj/view?usp=sharing,24.00,1,21,79,2020-11-27 13:59:05.13263,2020-12-19 02:18:06.589544,"","","","",""
100,1473-30,https://drive.google.com/file/d/1mUfJ-1HDB2LgMfsOyH1XvtykZOrTy4Oj/view?usp=sharing,61.00,1,4,79,2020-11-27 13:59:05.135225,2020-12-19 02:18:06.594967,"","","","",""
70,153-2,https://drive.google.com/file/d/1rXL5nTo5JzaEdfXavX_iEI6oWs42CRi-/view?usp=sharing,65.00,1,5,59,2020-10-21 10:51:34.98148,2020-12-19 02:20:33.395884,"","","","",""
67, 757-1,https://drive.google.com/file/d/1Ec0yHYLRxRt3IexhYfF-sDgX8V8L8WNM/view?usp=sharing,2.00,1,4,57,2020-10-14 14:28:31.663685,2020-12-19 02:23:33.72387,"","","","",""
120,896,"",84.00,1,2,99,2020-12-31 03:00:23.064757,2020-12-31 03:00:23.064757,"","","","",""
122,798,"",58.00,1,7,101,2021-01-05 09:56:28.649629,2021-01-05 09:56:28.649629,"","","","",""
123, 630,"",4.51,2,120,98,2021-01-08 07:56:11.805551,2021-01-08 07:56:11.805551,"","","","",""
124,631,"",2.21,2,120,98,2021-01-08 07:56:11.835677,2021-01-08 07:56:11.835677,"","","","",""
125,647,"",741.16,2,120,98,2021-01-08 07:56:11.838024,2021-01-08 07:56:11.838024,"","","","",""
126,361,"",21.00,588,7056,94,2021-01-08 08:22:15.114365,2021-01-08 08:22:15.114365,"","","","",""
127,362,"",108.00,588,7056,94,2021-01-08 08:22:15.117118,2021-01-08 08:22:15.117118,"","","","",""
128,483,"",212.90,43,12000,104,2021-01-12 14:48:05.444717,2021-01-12 14:48:05.444717,"","","","",""
129, 508,"",990.11,43,12000,104,2021-01-12 14:48:05.459036,2021-01-12 14:48:05.459036,"","","","",""
130,512,"",134.45,43,12000,104,2021-01-12 14:48:05.461475,2021-01-12 14:48:05.461475,"","","","",""
131,536,"",27.34,43,12000,104,2021-01-12 14:48:05.463064,2021-01-12 14:48:05.463064,"","","","",""
132,561,"",188.09,43,12000,104,2021-01-12 14:48:05.464769,2021-01-12 14:48:05.464769,"","","","",""
133, 561-1,"",4.66,43,12000,104,2021-01-12 14:48:05.466391,2021-01-12 14:48:05.466391,"","","","",""
134, 741,"",602.00,1,100,105,2021-01-12 15:12:34.78676,2021-01-12 15:12:34.78676,"","","","",""
135,120,"",3094.00,1,160,106,2021-01-12 16:40:14.421238,2021-01-12 16:40:14.421238,"","","","",""
136,120-20,"",587.00,1,160,106,2021-01-12 16:40:14.436685,2021-01-12 16:40:14.436685,"","","","",""
137,83-13,"",274.00,1,4,107,2021-01-13 01:31:09.257215,2021-01-13 01:31:09.257215,"","","","",""
104,1986,https://drive.google.com/file/d/1ml8ePLI8BBp5NSwH1iA7fL3K7nxISaEg/view?usp=sharing,4575.00,2,10000,82,2020-12-01 11:53:01.393083,2021-01-14 08:54:47.302211,"","","","",""
138,1396,"",126.75,2,6,108,2021-01-15 14:23:55.393447,2021-01-15 14:23:55.393447,"","","","",""
139,359 ,"",32.04,1,5,109,2021-01-15 14:37:58.810484,2021-01-15 14:37:58.810484,"","","","",""
140,360,"",64.21,1,5,109,2021-01-15 14:37:58.827365,2021-01-15 14:37:58.827365,"","","","",""
141,724,"",78.16,1,4,110,2021-01-18 08:45:37.488828,2021-01-18 08:45:37.488828,"","","","",""
142,574,"",86.17,1,2,111,2021-01-18 08:52:38.721925,2021-01-18 08:52:38.721925,"","","","",""
143,613,"",77.97,1,4,112,2021-01-18 11:59:56.687965,2021-01-18 11:59:56.687965,"","","","",""
144,613-1,"",6.03,1,4,112,2021-01-18 11:59:56.690786,2021-01-18 11:59:56.690786,"","","","",""
145,374,"",99.00,1,10,96,2021-01-18 14:18:05.990814,2021-01-18 14:18:05.990814,"","","","",""
146,483,"",212.90,43,12000,95,2021-01-18 14:48:26.116694,2021-01-18 14:48:26.116694,"","","","",""
147,508,"",990.11,43,12000,95,2021-01-18 14:48:26.130355,2021-01-18 14:48:26.130355,"","","","",""
148,512,"",134.45,43,12000,95,2021-01-18 14:48:26.133106,2021-01-18 14:48:26.133106,"","","","",""
149,536,"",27.34,43,12000,95,2021-01-18 14:48:26.141366,2021-01-18 14:48:26.141366,"","","","",""
150,561,"",188.09,43,12000,95,2021-01-18 14:48:26.144054,2021-01-18 14:48:26.144054,"","","","",""
151,561-1,"",4.66,43,12000,95,2021-01-18 14:48:26.155843,2021-01-18 14:48:26.155843,"","","","",""
152,134,"",70.00,1,2,113,2021-01-27 21:31:24.930342,2021-01-27 21:31:24.930342,"","","","",""
154,994-37,"",78.00,1,2,116,2021-02-09 11:14:41.367379,2021-02-09 11:14:41.367379,"","","","",""
155,1747,"",45.77,1,5,114,2021-02-09 11:55:22.372096,2021-02-09 11:55:22.372096,"","","","",""
156,1748,"",38.46,1,5,114,2021-02-09 11:55:22.377664,2021-02-09 11:55:22.377664,"","","","",""
157,3593,"",786.00,8,12188,117,2021-02-19 14:43:42.261215,2021-02-19 14:43:42.261215,"","",786,"",""
158,3601,"",716.00,8,12188,117,2021-02-19 14:43:42.263407,2021-02-19 14:43:42.263407,"","",716,"",""
159,3606,"",9444.00,8,12188,117,2021-02-19 14:43:42.264753,2021-02-19 14:43:42.264753,"","",9444,"",""
160,3610,"",800.00,8,12188,117,2021-02-19 14:43:42.265889,2021-02-19 14:43:42.265889,"","",800,"",""
161,3618,"",998.00,8,12188,117,2021-02-19 14:43:42.266987,2021-02-19 14:43:42.266987,"","",998,"",""
162,281,"",67.02,1,2,118,2021-02-19 14:51:43.286349,2021-02-19 14:51:43.286349,"","",67.02,"",""
167,888-1,"",89.02,1,3,122,2021-03-05 14:56:20.522188,2021-03-05 14:56:20.522188,"","","","",""
168,417,"",354.11,1,40,123,2021-03-05 15:16:12.665603,2021-03-05 15:17:19.150127,"","","","",""
169,1169-8,"",11568.00,314,700000,124,2021-03-05 15:51:18.485631,2021-03-05 15:51:18.485631,"","","","",""
223, 1350,"",32.00,1,5,167,2021-06-25 11:29:11.846261,2021-06-25 11:29:11.846261,"","","","",""
224, 1588-2,"",75.55,1,3,168,2021-06-25 11:50:49.746738,2021-06-25 11:50:49.746738,"","","","",""
225,147,"",275.33,1,4,169,2021-07-01 06:17:17.244359,2021-07-01 06:17:17.244359,"","","","",""
153,517 ,https://drive.google.com/drive/folders/12Wh4eeby8SQ0Cne9ADOHrHd1vLo4e54N?usp=sharing,109.87,1,2,115,2021-02-07 14:49:01.295717,2021-03-13 03:50:18.434546,"","","","",""
226,775,"",10.84,1,5,170,2021-07-01 11:28:08.469762,2021-07-01 11:28:08.469762,"","","","",""
166,888,https://drive.google.com/file/d/1MrKIW3hKgYmBnojOwkzLCCSHO5Gg0wMe/view?usp=sharing,11.00,1,3,122,2021-03-05 14:56:20.519967,2021-03-13 04:13:16.570202,"","","","",""
170,577,"",69.00,40,100,125,2021-03-18 09:48:10.376215,2021-03-18 09:48:10.376215,"","","","",""
171, 3774-10,"",60.00,2,3,126,2021-03-18 13:58:11.83043,2021-03-18 13:58:11.83043,"","","","",""
172,429,"",39.00,1,5,127,2021-03-18 14:11:48.927863,2021-03-18 14:11:48.927863,"","","","",""
173, 675 ,"",909.00,474,60000,129,2021-03-18 14:50:14.064445,2021-03-18 14:50:14.064445,"","","","",""
174,671 ,"",330.00,474,60000,129,2021-03-18 14:50:14.066396,2021-03-18 14:50:14.066396,"","","","",""
175,585-2,"",309.00,1,3,130,2021-03-19 14:33:57.575927,2021-03-19 14:33:57.575927,"","","","",""
176,139,"",36.61,1,4,131,2021-03-19 14:55:01.146713,2021-03-19 14:55:01.146713,"","","","",""
177,140,"",29.79,1,4,131,2021-03-19 14:55:01.1485,2021-03-19 14:55:01.1485,"","","","",""
178,141,"",29.40,1,4,131,2021-03-19 14:55:01.153723,2021-03-19 14:55:01.153723,"","","","",""
179,1096,"",671.43,1,96,132,2021-03-19 15:14:50.572821,2021-03-19 15:14:50.572821,"","","","",""
180,212,"",2389.00,99,40000,133,2021-03-19 19:35:46.294728,2021-03-19 19:35:46.294728,"","","","",""
181,212-4,"",113.00,99,40000,133,2021-03-19 19:35:46.296715,2021-03-19 19:35:46.296715,"","","","",""
165,99,https://drive.google.com/drive/u/0/folders/1q8OkStMKGjKPx06JY22xUBB63E1G2XQ5,85.59,1,3,121,2021-03-03 01:12:29.34235,2021-03-24 01:32:22.964548,"","","","",""
182, 6984-1,"",87.00,1,2,128,2021-03-26 09:20:36.016616,2021-03-26 09:20:36.016616,"","","","",""
184,430 ,"",73.12,1,3,136,2021-03-26 10:21:51.319041,2021-03-26 10:21:51.319041,"","","","",""
185, 858,"",103.73,1,16,97,2021-03-26 13:56:40.749917,2021-03-26 13:56:40.749917,"","","","",""
186, 858-1,"",0.24,1,16,97,2021-03-26 13:56:40.754302,2021-03-26 13:56:40.754302,"","","","",""
187,858-2,"",7.03,1,16,97,2021-03-26 13:56:40.758299,2021-03-26 13:56:40.758299,"","","","",""
188,347,"",92.00,1,8,137,2021-03-26 14:39:44.605174,2021-03-26 14:39:44.605174,"","","","",""
189,90,"",6319.00,96,60000,138,2021-03-26 14:50:03.389364,2021-03-26 14:50:03.389364,"","","","",""
190,503,"",96.00,1,8,139,2021-03-26 14:52:56.142877,2021-03-26 14:52:56.142877,"","","","",""
183,290-762 ,https://drive.google.com/drive/folders/1K6kQL__YlnjX5yfw4lH0x3ew_Hmnh7bY?usp=sharing,156.00,1,12,135,2021-03-26 10:06:28.778698,2021-03-28 12:22:39.911327,"","","","",""
191,671,"",330.00,474,60000,140,2021-03-28 13:18:33.802842,2021-03-28 13:18:33.802842,"","","","",""
192,675,"",909.00,474,60000,140,2021-03-28 13:18:33.80475,2021-03-28 13:18:33.80475,"","","","",""
193, 242,"",2988.43,41,10000,141,2021-03-28 13:42:34.328148,2021-03-28 13:42:34.328148,"","","","",""
194,347,"",92.00,1,8,142,2021-04-13 14:56:44.614,2021-04-13 14:56:44.614,"","","","",""
195,1376-3,"",96.00,1,30,143,2021-04-18 13:56:42.477453,2021-04-18 13:56:42.477453,"","","","",""
196,235-18,"",104.00,1,15,144,2021-04-18 15:02:03.755192,2021-04-18 15:02:03.755192,"","","","",""
197,178,"",184.00,1,20,145,2021-04-21 15:04:48.978291,2021-04-21 15:04:48.978291,"","","","",""
199, 140,"",29.79,1,4,146,2021-04-22 14:41:20.68587,2021-04-22 14:41:20.68587,"","","","",""
200,141,"",29.40,1,4,146,2021-04-22 14:41:20.690063,2021-04-22 14:41:20.690063,"","","","",""
198,139,"",36.61,1,4,146,2021-04-22 14:41:20.68419,2021-04-22 14:43:06.28416,"","","","",""
201, 619地號 ，面積m2，持分 ,"",879.00,1477,263700,147,2021-04-22 15:54:06.95236,2021-04-22 15:54:06.95236,"","","","",""
204,893,"",117.42,1,3,150,2021-04-30 15:31:59.062067,2021-04-30 15:31:59.062067,"","","","",""
121,233 ,https://drive.google.com/file/d/1NCuCcZRuucFjXFOkHLlKOQqz8PPWrIov/view?usp=sharing,62.00,1,5,100,2021-01-01 09:59:40.154001,2021-05-01 03:15:38.294615,"","","","",""
205,1121-4,"",76.00,2,3,151,2021-05-02 13:12:20.146574,2021-05-02 13:12:20.146574,"","","","",""
206,1121-11,"",28.00,2,3,151,2021-05-02 13:12:20.14872,2021-05-02 13:12:20.14872,"","","","",""
207,1122-4,"",22.00,2,3,151,2021-05-02 13:12:20.150151,2021-05-02 13:12:20.150151,"","","","",""
163,1677,https://drive.google.com/file/d/1XHndLkaAOmpYlVQYNsLQcmxGdbjQLWxZ/view?usp=drivesdk,204.44,1,20,119,2021-02-27 00:24:44.222522,2021-05-04 11:14:01.099784,"","","","",""
208,197 ,"",104.00,1,24,152,2021-05-04 14:17:00.339384,2021-05-04 14:17:00.339384,"","","","",""
209, 302 ,"",23422.00,211,400000,153,2021-05-04 14:44:03.151938,2021-05-04 14:44:03.151938,"","","","",""
210,1622-4,"",92.00,1424,30000,154,2021-05-04 16:49:20.741169,2021-05-04 16:49:20.741169,"","","","",""
211,1622-9,"",51.00,1,3,154,2021-05-04 16:49:20.743093,2021-05-04 16:49:20.743093,"","","","",""
212,1622-10,"",7.00,1,3,154,2021-05-04 16:49:20.748231,2021-05-04 16:49:20.748231,"","","","",""
213,400 ,"",1151.00,83,10000,155,2021-05-12 13:51:18.858542,2021-05-12 13:51:18.858542,"","","","",""
214,無,"",,,,159,2021-05-20 14:36:58.844599,2021-05-20 14:36:58.844599,"","","","",""
